,ROWID,TWEETS
823,824,hello sir kaise ho plz reply tou de dou aaj plz sir
824,825,sir orissa pe kavi aao na.plz..
825,826,Jaldi btao bhai jaan
826,827,bhaijan kolkata ka har log ready..up ekbar kolkatame aajao
827,828,Aslma alikum bhai jaan
828,829,ye sabka record todne wali he
829,830,Bollywood king my bro salman khan
830,831,Bajrangi bhaijaan sab record todegi salman bhai jii
831,832,Salman aapse milne ke liye Hume kya kare
832,833,Bhai jaan apse ek request tha.. ek baar apki koi dance functions me dance karne ka moka dete toh.. ye jindegi ki sabse bada dream pura ho jata
833,834,lov u sallu bhai
834,835,Ramzan me sabki madad karte ho aap isiliye vo aaye the
835,836,"350 cr kamati ab,"
836,837,"tayyar ho gaye kab se,ab jaldi aao!"
837,838,salman ji hm jarur dekhenge aaj aapka teaser and 17th july in cinema Bajrangi Bhaijaan..love you salman ji.
838,839,Han bhai aaj raat party to bnti h
839,840,kuchh reply to dijiye salmaan bhai.. abhi fauran..
840,841,Ha bhai kab se tyaar hai Patiy ke liye
841,842,Eid ke bina salman khan ki movie flop..akshay kumar ki movie chahe jab release ho hit hoti hai..
842,843,Yess my cutee salman
843,844,Salman Bhai aap cinta mat karo apki movie ham hit kare ge
844,845,bhai plzz apni movie 27 ramzan ko release na kiya kro. its my request q k ramzan ki 27 v rat(holy night) ko shbe kadr hoti he. sare muslman ibadat krty he. ap b muslim ho na. #beingsalmankhan #bbthiseid #aajkiparty #bajrangibhaijan
845,846,iftar party mere taraf se aajao
846,847,Aap log bahot amir he aapke liye party karna aam baat he par un logo ka kya Jo aapna ilaj bhi nahi karva sakhte jese ke meri friend use apki help chahiye aor aap party kar rahe he aap uski khuch madad karde pliz
847,848,eid baad hogi bhai party to wo bhi bajrangi bhaizan movie ke saath sbhi no tv no movie
848,849,are salman sir agar mere coment ko padhma to plzz ek bar reply karna
849,850,kya yar kuch muslim bhai salman bhai se q naraz ho rahe ho salman bhai acha insan he
850,851,Pehle roze to rkh le fir eid manana..
851,852,Bilkul kab se net pe search kar rahe he aapke gaano k liye bajrangi bhaijaan. ..
852,853,Kyu nahi ap eid per ap bolaye or hum na aye hum jaror aye g
853,854,Kaum ke gaddaro ke sath parti nahi krte hum
854,855,Salman ki diwaniya muj se ek baar chat krlo plzz..
855,856,Sory main nhe aasg t main pakistan main ho??
856,857,Movie flop ham sab ke tarfse aap ko bhai mmubarak
857,858,Mjh say bat karo na sweeto 1 ber bus 1 ber
858,859,Yunki party k liye to hum ready hain par kya karen nahi aa sakte kyonki invitation sirf bhaiyo aur behno k liye hai..
859,860,no way..pura ek mahina ramzan ki ibadat k baad eid mey aisi movie kon dekhega jaha hanuman chalisa padhaa ja raha ho..
860,861,Râ€žj'Å’v Vâ€¹Vâ€ â€˜Â¤ Ready ho bhai aaj ki party ke liye
861,862,Main to nahi ye movie dekhuga Salman ki har ek movie dekhi but ye nahi dekhuga
862,863,koi bhi larki fedda ho jaiga app ka upar dekhna app
863,864,ye vi bolne ki baat h ap bulayen aur hum na ayee #bhaiyjan
864,865,Big brother party de or ye chota bhai party me nhi aae aase ho skta hai kya kbhi #Salu bhai(bajrangi bhaijan)
865,866,Bhai hamara naseeb kha hum aapke sath party kar sake
866,867,nar ja kutte
867,868,Ap riyel salmankan hai to sun no ke pahele ye socho ke msalman hai ke nahi hai to akhirat ki fika kar
868,869,Lovly sallu bhaijine
869,870,bhai iftaar farty hai kya?
870,871,Kis khushi me tyar hojae bhai shadi ki party dere ho
871,872,yrr ap bhi kiss ke movie dekhne jaoge jab is ne he bol diya ki mere movies musalmano ke bina bhi chalte hn
872,873,aaj ki party bhai k taraf se
873,874,kiski party bewakoof badtameez
874,875,Salman ab hindu bangya he bhayoo koi movie dhkhne nhi jaaye
875,876,ek dum tayyar
876,877,bhaio ye khabar afwah he Muslims ko challenge karne wale
877,878,Super duper flop..inshallah nich hai Salman Khan tu..?
878,879,Hm toh taiyar bs apke tasrif rakhne ki deri h.
879,880,Tum.sala.hindu.
880,881,is kutte ki filam dekhne koi bhi schha muslim nhi jayega
881,882,Haa bhai hoo gyi party aaj ki
882,883,Aaja bhan k loda apna baap sa baat kr tare maa ka maru bhoxda sala cutta
883,884,Ma teyar houn jnb
884,885,Teri party tere baab ko de na layak
885,886,Tanik kaisen ho
886,887,Mere kuch samaj mai nhi aara m kya kari hoon
887,888,"Khan bole tho salman khan, dil tadap ra bhaijaan ke liye"
888,889,Bhai apne bola air Maine comment maar dia..Eid Mubarak ho
889,890,Uski party kisey hona bhai
890,891,Pak mei KB hogi party with salman:(
891,892,Salman bhai es songs ko movie me bhi dalo plz
892,893,salman is me dono hi maire favourite hai hanuman ji or salman ap ye movie hit nhi super hit hogi
893,894,Kise khushi main party de hai aap ne apne kaha tha aap sare comment padhte ho to ek reply to banta hai
894,895,Ha bhai party kaha h kon si jagha per kiya timing h party ki or kon kon aa raha h party me
895,896,Bhai song utna acha ni tha jitna socha tha but nyc song
896,897,Sala kutta tera movi kon dekhe ga harami
897,898,Salman bhai ji ko Namastey Salaam.ye Eid apki superhit ho.jai bajrangbali.
898,899,very very very very very nice
899,900,Eid Mubarak bajrangi bhijaan
900,901,lov you salman
901,902,Yes bhai boleto fadu song
902,903,Bhai i'm so sad mje yh song site pe nhe mil rhamai kese sunu yh sng
903,904,Osm party salman bhai apka gift
904,905,Koi bhi musalman is ki picture nahi dekhna
905,906,mast h bhai ek no1.
906,907,Ek bAat apki achchi nhi lgI.. #Salman_Bhai.. mekO pTa h aP bZy h bt vO bAat apKo ptA nhi chl paegi jab tak aP mekO cntct nhi krenge m apni bAat v clear nhi kr paunga
907,908,ramzaan aur eid bahut bahut Mubarak ho i love u
908,909,ye to janab kehte hai ke bena musalmano ke film hit karwakar dekhai ge
909,910,Ramadan Mubarak salu bhi..
910,911,Lubb uu salluu
911,912,Isski film allah kare flop ho aur age jo bnayega wo sab flop ho aur hogi tujhe kiya pata slman musalman ki dua ki kiya taseer hoti hai
912,913,"U jahanami ,,.hate u ,,waqt hai sudhr jao,,"
913,914,Nice bajrangi bhai. ..
914,915,sab muslim bahi se gujaris h ki duwa karo ki yes ramjaan me yeto h aagle sal ramjaan me ni ho
915,916,allah ke nam ki behurmati ki tune salman
916,917,Kala dajjal hai salman khan
917,918,Jai jai bajrang bali sallu bhai ek number
918,919,shandar song hai!
919,920,Allah ap ko apna haveza aman ma rakha
920,921,Bhai ki chalati he isliye achhe accho ki jalti he..
921,922,i love u salman vai.i always like u vaijan.khuda hamesha apki saath rahega..
922,923,"yes,boss main toh apki film dekne keliye kis tara se behtab ho rahi hu bata nehi sakti <3"
923,924,salman ki band baj jani chahiye is baar
924,925,Yas ye film koy bi math dekho bhajrang bhaijan uter flop hona ye film
925,926,Oo salman sale ku bohat ghamand ayi musalmaano ku bola ki musalman koy bi nahi dekhe tho bi chalegi meri film bolke bola
926,927,Isliye ye salman kutte film koy musalman math dekho
927,928,Sllam bhai jaan EIDmubarakh.
928,929,har saal eid me ana dhoom machake jana
929,930,nice bhai mai jarur aaunga
930,931,Yhe special song 4 eid ..yhe party meri taraf se
931,932,bhak chutiya sala bhosrdi k shar gairat naam ki koi chiz nhi kya re tujme
932,933,aliya zain ko kisi ne dekha h kya ??
933,934,Slman kya tm waqai musalman ho agr ho tu muslmano ke naam pr dhbba ho
934,935,yes yes yes aap log sahi bolre ho
935,936,Dektha hun kaise release karega movie
936,937,chup baith zaleel tu musalman nahi hai aur tu ek c**tiya hai mada**d
937,938,Iski ma chod do salman ki
938,939,sala musalman ke naam par kalank hai ye sale tune muslim ke liye kiya hi kya hai or jo kar raha hai tu us se bhi jal raha hai
939,940,Kutty sharam tou hai nhi tujh mai zalill insaan
940,941,Enka koi eman dharm nahi hai
941,942,bhosdiwalo bhai ke khilaf kuch galt mat bolo tumhari life jhand krdunga me mc harami log
942,943,Tum kafar ho
943,944,salo yha kyu apni maiya thukwa rahe ho.. sale chutiye bhaag jao.. ni to ga**nd paad dunga
944,945,Tume ka firAlha se daro salman idar maza lelo akhirat me bahut tadpa tadpa ke marega
945,946,ye bhosdiwale bhagne vale nhi bc mc harami sale suwar ki olad
946,947,Eid ki party kahape milu bhai
947,948,bohat acha song h bhai jaan aap bohat jyda smart ho.
948,949,bhaijan eid mubarak
949,950,thnks alot sallu
950,951,Chor hai madarchod salman
951,952,Koi nhe dekhega es tere mivie
952,953,hindu Muslim ke naam pe paisa kama raha hai salman khan.. shame..
953,954,bhai eid ka gift nhi doge
954,955,agar sachhe muslman ho to eid ke din is kutte ki film mat dekhna.
955,956,Yehi sahi waqt hai jab hamara imaan azmaaya jayega
956,957,Kafir ki aulad mai teri movi nhi dekhunga..
957,958,waise bhi bete hm bs yaha ana bs kam kiye hai warna hm aksar yahi raha karte the
958,959,Salman bhai mujhe bhi aana hai
959,960,wâ€¦ise tu boli nai ki hai kaha se
960,961,Aap ka bhi insaf honga. yaha nahi to waha honga. . inshallha
961,962,sandhya slman bat nai karega
962,963,Alisha sallu hat ni aane vala the sapne dekhna band karo
963,964,Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel
964,965,yeh chutye ko leker jaker bathroom mein bandh karo re
965,966,sallu is bst
966,967,Taiyar hai bhai jan
967,968,Salman muzhe mere sawal ka jawab cahiye hum nich to tu kon akher tu bhi muslim h na most reply
968,969,Nich musalman kis ko bola pehle apne aap ko dekh tu aaj jaha par hai un musamano ki vajah se hai. Samga.hamko dhamki deta hai kon dekhna chahega ye sadi movie
969,970,Weat karna padega
970,971,Ap sache wale being human ho bus apki yahi bt sabse Alag h..ap Surat se kuch Jada smart nhi PR dil se ess pure Bollywood m sundar ho..saf pakk dil h apke pass Jo etni dou
971,972,Agar ek Muslim hoker iman ke saath gaddari kartha hai use support karnewala usse bada kuffar koyee nahi .pahale unku dawath do jo us darinda ko support kartha ho kaho ki Islam kya
972,973,bahut pyaar h aap nhi samjhoge
973,974,Abhi easvariya ka bhut utra hi ni he to tumko kaha se milega
974,975,Tu dil hai tu jaan hai..mera salman hai
975,976,o ja gashti k bachey musalman ho k hindu bna hai lanat tere pe
976,977,Teri party tujhe hi mubarak humare liye Allah hi kaafi h
977,978,mai chahthi hu kya ki bajrangi bhaijaan film flap hona pukka
978,979,Bajarangi film flop hogii salman ki. Maa bahen hoo gii saalaa chotiya
979,980,aabki baat 800cr par bajrangi bhaijaan (y)
980,981,awsome song bhaijan..
981,982,"yes, lv u sallu bhaijaan.."
982,983,Sir ji apni kise s wada keya hi
983,984,Lanat ho bajrangi shaitan par lanti slman
984,985,hume bhi party chahiye
985,986,flop movie kutta salman
986,987,Yes I'm ready u luk so handsome bhagwaan aapko buri nazar se bachaaye
987,988,salman tujhe to alha ka brkt h ..jo tme kharab bole uske ghrme jurjate h ( thats means haram khor ka khandan ) ok
988,989,Eid kab hain? Jis din Salman ki filim release hoti hai.
989,990,voh toh haii
990,991,"Ied mubarak ho salmaan g.khuda se dua hai,aapki ye movie bhi badi hit ho,aapki last movis ki tarah."
991,992,Apki movie me sbko bolna hai jai siya ram tab eed manegi acchi..
992,993,bhai jaan jaisa koi nhi mai super man bhai jaan ka fan.
993,994,Eid ke din salman apni maiya chudae
994,995,sabki jaan salman khan.
995,996,Nahi to ye mat soch ke tu fanna nahi hoga ye khyal tera jhutha h
996,997,Ha bhai salam
997,998,my sallu bro always mindblowing salam sallu bhai
998,999,iss bar eid ki party bhai ki tarf se..
999,1000,M aapko mis kar rha bhaiya kab aayega big boss plz reply karna
1000,1001,Salman Khan Teri film flop jayegi tu musalman nhi h tu kafir h
1001,1002,Don't wary always be happy insaallhatala aap ke film sb se jada box office me kamane wale film hoge
1002,1003,Amazngg bhaijaan.. Love uuh koi kuch ke le mai toh 1 st day 1 show jaunga..
1003,1004,salman khan ek achhe enshan hai mere bhai hai
1004,1005,Ab kis baat bheek mang rha rha hath faila kr eid pr
1005,1006,eid mubarak bhaijaan in advance
1006,1007,Party to tab hogi jab life mein pretty hogi and pretty life hogi and pretty hi my beloved wife hogi
1007,1008,kamina salman yehi bolna chare ho na maqsood bhai
1008,1009,Pirty toh aap k sath karni thi boss
1009,1010,ramzaan or eid mubbark ho salman bhai 8863960135 mai aap ka wait
1010,1011,Hum to hamesa tayaar rehte hain..bas aapki aane ki deri hoti hai..;-)
1011,1012,oui salman khan
1012,1013,aap Kavi hamare orissa me to aao
1013,1014,salman bhai main apka bahut bada fan hu mujhe apki bahut pasand aata hain.
1014,1015,i love u saiman ji main apka bohat bada fan hon sir mujhe aap par pora brosha hai aap mujhe back msg karo ge main aap se jab melunga na main apko acting dekhaoonga
1015,1016,sallu bhai ilove you
1016,1017,Bhai tyohaar to bhai ka hai tou wo humara hua na
1017,1018,Salman tum baishram ho pahlai Nam ka Matlab janlo pir samjo gai
1018,1019,Warna tumhari khairnah ha or waisabi eid to abi nahi hai kuch Dino baad hai
1019,1020,Sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num 03356507139 Skype I.d abdul.rehman6731 plzz contact meabdul.rehman.sahabto
1020,1021,Bhai logo sbse bda dharm insaniyat usko follow karo
1021,1022,Iss bar BJP ka kutta Muslim pe dhabba aanne wala hai eid k din jaha b ye kutta aayega jute mar k bhagao sale k ghar me ghusu
1022,1023,Ye koun kutta bola
1023,1024,Yahi to sab log chahte hain ki hum lade aur tum log vohi kr rhe ho
1024,1025,Ashu Singh tu kya janta hai
1025,1026,Ashu yar bs kro. . .
1026,1027,Pk??..agar bhagwan ko pujne ke liye ek chhoti si murti ki jarurat ni hai to tum bahanchod hizdo ko itne bade maszid ki kya jarurat hoti hai DHILE LAND KI PAIDAISHO??
1027,1028,Abdul raheem bhai iske nhi samajh aayga mu bhat hai sala maners to hai hi nhi isme isko samjhan khde ke aage been bajana hai
1028,1029,Ashu Sing tumhari saat howa hoga tum logo ka Mandira mai haa
1029,1030,Bhupender Panwar ab tum mojsai q poch rahai ho ka mai Kon ho
1030,1031,Yar ashu tm had par kr rhe ho. Plz bs kr yr. . .itna nonsense mt bolo
1031,1032,Ashu Singh tumhari baat hamai samag nahi arahi
1032,1033,Abhi tak to bada dum tha tum logo ke laudo me?? achanak se dhile ho gaye??
1033,1034,@bhupendra panwar..tu pakistan kyu ni chala jata 5 saal k liye..?
1034,1035,Abey pakistaan ja kutte teri to hindi bhi sahi ni hai
1035,1036,aur har bhade ke tattuo se comment karwane wala har SALMAN KHAN musalmaan hota hai
1036,1037,to tera matlb har bura kam karne vala aadmi musalman hota h Great thinking h bhai my midle finger salute u
1037,1038,Aur jo chup chup ke bole chala jay vo hi asli hijde ki aulad hota hai ashu kutt
1038,1039,sonya khan ek hijda musalmaan hai isey apna gender ni pata
1039,1040,Sonya tum ladka ho ya ldki jaldi btao ek kam h tum se
1040,1041,"Musalmaan kabhi aage se vaar ni karta hamesha hijdo ki tarah pichhe se vaar karta hai,Pakistan ko hi dekh lo Muslim hijdo ka desh Hahahahahahaha"
1041,1042,bhupender panwar hijda musalmaan hai
1042,1043,Bhupender bro sahi keh rhe ho isse bada chtiya mene apni zindagi mai nhi dekha yahi hai chutiya no1
1043,1044,Advenced idd mubarak
1044,1045,Aaj ki parti salman bhai ki eid ki parti
1045,1046,Uske baad last mai apne liye kuch lelungi
1046,1047,Gracy Singh or salaman khan jodi ek sath dekhana chahata hu
1047,1048,Aur sab kaisa chalra hai
1048,1049,love uu shalluu
1049,1050,I hate bajarngi bhai jaan. .. Salman
1050,1051,Tum mere jaan ho bhai plz 1 bar call ya msg tu h to bola tha like ya comment karo tum padty ho na .
1051,1052,A harami hai iski bhadwa ki mov mat dekna
1052,1053,kisi ko harami kahne se pahle apne bare me soco.
1053,1054,Salman khan Bajrangi kutta maa ka lauda bhenchod
1054,1055,I think vai app padhtey hongey plzz mai appse milna chata hu
1055,1056,Koi mere se zyada bda sallu ka fan hai to to lagatar iss film k pahle show dekhega koi hai to add me
1056,1057,"Akhir show me apko kitne din tak dekte rahungi,?"
1057,1058,bhai is kutte ki film mat dekho kyu apna paisa haram jagah le jaa rahe ho
1058,1059,Hanji paji tiaar aa jooba
1059,1060,Bhai mujhe aapke sath acting karni hai main bhai aapke ghar ka kaam bhi kar doonga bhai mujhko mumbai le chalo bhai bhai plz bhai
1060,1061,tumne muje msg kya tha plz batao please
1061,1062,pure bachio ki jaan lena hai kya aise pics dekha k
1062,1063,main ye pic dekhne ke liye taiyar hu salman bhai
1063,1064,salmaan sr.. Aap ne khud kaha k aap hr cmments khud read krte ho.. so kabhi reply ku nahi krte
1064,1065,love uu shalluu
1065,1066,m sallu ko etna love krta hu jisko nap ne k liye avi tk kuch ni bna
1066,1067,Maat dekho salman ke bajrange bhai jaan movies 2 ? Salman khan is not a muslim he is a hindu becous Allah sey SAAB SE BAA GUNAA HAIN SHIRK TO Salman kahn shirk kar raha hain 3 KURAN KA farman haain saab se bara gunaa Shirk hain
1067,1068,Hum ka bole is kamine salman ke bare me bolna to bahut kuch hai I heat salman khan
1068,1069,apko salman bhai ki kasam mujhe add kijiya
1069,1070,Meri bhai jaan salman khan ilove you
1070,1071,bhai mae tho tayar hae
1071,1072,bhai mai tu kabse tayyar sath me eid manege bhai roza the aj
1072,1073,Kya kare ho
1073,1074,Itni saari qurbani dene k baad fir bhi mai galat hoon
1074,1075,Tumne bhi kabhi saath nhi diyaa to mai akhir galat ho he gai cograss
1075,1076,Jaise tum apne waade k pakke ho waise mai bhi apne waade Ki pakki hoon
1076,1077,aslamo alaikum bhai
1077,1078,very dhamaka song pichli baar jumme ki raat &iss baar party ki raat wow..party aapki taraf se iss party mehi kick hai..
1078,1079,Isna Muslim ko chalang kiya ha iska movie koi. Mat dekhna agr tum sab Muslim hoga to nhi dekho ge
1079,1080,sallu bhai rocks
1080,1081,Bhai jaan k se hai ap ghar wale k se hai ya film bajrangi bhaijaan qameebi ho gayi mujhe ko i d me add krna ha apko Ramzan ap sub ko Mubarak ho. Saad Khan pakistan Karachi .
1081,1082,BHAI boht acha hy bus aj ki jagah pr eid hona chahye thaeid ki prty meri trafcse ..Jai hoo bhaii
1082,1083,Bahut bahut badhai ho bhai jaan aapki aane wali flim me hum logo ka sabka subh kamnaye.he
1083,1084,mai salmaan bhai ka baho..t.. bada fan hoon ..
1084,1085,"Tayyr,hai sllu bhaijaan"
1085,1086,sem 2u bhai
1086,1087,Nice song aaj ki patry meri tarf se
1087,1088,insa-allah ye sare record torogi
1088,1089,apko bhi mubarak
1089,1090,"ab apko nice,gud,handsome etc bolke kya faida..Ei sab bohot chota word hai ap k liye..ap mera fav actres ho pls Cl me on this nmbr..919593871431..<<Agar ho sake to>>..Pls..''"
1090,1091,koi pasand ni karta teri film ko or band kar ye tamasa
1091,1092,salman kaha good. film bajrahgi bhaijaan oldbasyt walkam
1092,1093,Aba es photographer sa achi photo to ma khich la ta hu sala q tera 2 maru ga chitiya sa la tera baap ko ati hai photography ..
1093,1094,Advance mai eid mobarak bhai
1094,1095,Salman khan am exited 4 ur n3w film #bajrangi #bhaijan ..
1095,1096,gulmira ne kya likha h. . . .
1096,1097,Salaam bhai aap ye accha kaam nahi karre
1097,1098,bhai tumhara ghar or ghar ke share log islaam ke naam par kaala dhappa ho islaam se judi koi bat nahi he tumain
1098,1099,Kye hal han Salman Bai
1099,1100,khuni saale chal jail ja
1100,1101,eid musalmaan ki hoti hai
1101,1102,hi salman Bajrangi bhaijan
1102,1103,bhai party ke liye abke sab frnd tayar hain..!!
1103,1104,party kha pai hoygi bhai
1104,1105,allah kare is khabis ki movie flop ho
1105,1106,Eid mubark ho bhai jaan advance mai it's emerjancy plz
1106,1107,hamaare duvaa aapke saath he bhijaan ham aapke leye kuch bhe kr sakte he
1107,1108,Aaj ki party bhai ke taraf se
1108,1109,Film release bhi hogiApki taraf se party bhi hogiOr aapki zholi bhi bhar jayegiTension nahi lene ka bhai Hum sab aap k sath haiWish you all the best
1109,1110,Salman bhai ap mujhe bhot pasand ho
1110,1111,Dukkar h salman suwar kahi ka
1111,1112,Mr. salman ajkal aap k setare gardish mai aapko sarf 8 hazar comment aate hai oh ho
1112,1113,bhai jan kya baat haii.
1113,1114,Aaj ki iftar party meri taraf se invition hai bhaijan apko pure pariwar ke sath
1114,1115,Party with salman & bebo kon miss krega
1115,1116,Wah bhai wah
1116,1117,Bole to ekdum hit apne sallu bhai ki picture jhakaas
1117,1118,yaar bhai jaisa to aur koi paida hi nahi ho sakta I LOVE YOU BHAI
1118,1119,hi salman vai eid mubarak
1119,1120,apki bht bht bht bht bari fan hon pakistan se
1120,1121,kya ye dawat garib or yateemo k liye bhi hai
1121,1122,@lwayz ready 4 uh salman sir..
1122,1123,yaahi bhut bari party he ap ki taraaf se
1123,1124,eid mumbar ho aap ko..
1124,1125,aaj ki party meri taraf se salman bhai
1125,1126,vry vry beautiful song. ..
1126,1127,Selfie le beta jb marja0ge jb Qaber m ja0ge tb Allah tje dakhega ghtya h0 tm really
1127,1128,Bhai ied mubaraq
1128,1129,"Bohot accha hai . Aaj ki party mari taraf se , sab ko bolo utre flak se . Nice"
1129,1130,Kaise hai bhai aap achha rhiyega to hum v rhenge vRna aap jante hai
1130,1131,Jo b ho par main aap se bhuut pyaar karty ho salman
1131,1132,Salman khan Teri maa ki chuth aur Teri bahan ki chood
1132,1133,Yeh kaun boodeh ke peechhe padi hai bina makeup ke dekhle bhaag jaogi.
1133,1134,Bhai aapki movie hum hit karenge koi kare ya nare
1134,1135,Bhaijan eid Mubarak Aap ko pyaar karty ho
1135,1136,Bhaijan tumara fon nombar chaie do na eid Mubarak bolne ka
1136,1137,Salam lekum bhai jaan ramdan mubarak ho aap ko
1137,1138,Awa ge jaroor
1138,1139,chicken song iw awesome bhai
1139,1140,Kyun bhai Aj kyun nahi Kal kare so Aaj KAR..
1140,1141,woww omg aaj kyu nahi ..love u salman
1141,1142,Kay baat hai bhai jaan..
1142,1143,main to ab jaa hi nhi rha aur khin kal tk..yhi rahunga
1143,1144,hum intazar karenge
1144,1145,Sallu tumhe pta bhi h ki tum iss red pathani kurte me kya jabardast lag rahe ho..koi bhi ladki mar jaaye tumhare liye to..ummaahh?
1145,1146,aap ki EID ki party me hum ainge bhai
1146,1147,Lov ew xo much salman
1147,1148,Han bhaijaan jaisa aap kaho..best of luck for bajrangi bhai
1148,1149,super cool cool bro
1149,1150,super jodi kreena sallu
1150,1151,"oh my god ,i cnt belive.. i'll be thr..pls be my frnd salman..$$"
1151,1152,Super duper hit hai bhai ..
1152,1153,Teri maa ka
1153,1154,nice pic bajarangi bhaiya
1154,1155,Iam waiting salman bhai
1155,1156,Vadiaa veer ji
1156,1157,I don't like salman khan madharchod randy ka ladka harami kafir
1157,1158,aadab salman ji
1158,1159,Sure i ll 3:30 Ko kya me toh 2:30 Ko hi facebook me rahungi
1159,1160,abe chutiye kabhi namaz bhi pad liya kar
1160,1161,Salman mere jaan muuhhaa
1161,1162,Goodluck for bajarangi bhaijaan
1162,1163,Musalman log khilaaf hogaye iske saari ijjat dho dega kya is pic mei
1163,1164,theek hai mujhe to lagta hai main ye film dekh chuuka hu sabhi loog iss film ko apne aap se relate karenge
1164,1165,salman bhaijaan eid mubarak aapko ho
1165,1166,Aap sabki madad karte he meri friend ki help kar dije pliz
1166,1167,Salman ab tak to hum aapke bohut bade fan the lekin ab nahi ..Kyon k aapne musalmaan bhaiyon ka bohut dil dukhaya hai I hate u..
1167,1168,Assalamu alykum bhaijaan Eid mubarak ho bhai or aap bahut ache insaan ho good luck
1168,1169,"welcome *""*'*'*'*'*'*bajrangibhai jaan*'*'*'*'*'*'*""*'*'*superhit movie*""*""*""*'*'*'*:welcome fance party*""*'-'*'-'*'*""*'*superr*'*'*'*'*'*'*'*:*duper*""*'*'*'*'*'*best*'*'*'*'*'*'*'*'*""*:very nice*""*'*'*:*'*bajarangi bhai *""*'*'*""*'*'*'*bajarangi bhai *'*""*""*""*'*'*'*'*bajarangi bhai*""*""*'*'*':'*:*'*hit*'*""*'*'*:hit*'*""*'*'*'*'*'*'*hit*'*'*""*'*'*'*super actor&actress*""*'*'bajrangibhai*""*'*'kareena *'*'*'*'*best *""*""*""*'*'*""*'*watch movie later-id-ul-fittar*""*'*'*'with*""*""*'*'*sallu*""*""*'*'*':'kareena *""*'*'*'*'*bajarangi bhai jaan *""*""*'*'*superstar*""*'*'*'::"
1169,1170,selfie le lo bhai ke saath
1170,1171,Salman Khan sir koi kuch b bole hume koi. Frk nhi pdta. Ye sb ek chal he kisiki bt i lv u sr god bless u hm to dekhege movie or dikhayege b #BBthiseid becouse ye mere salman sir ki movie ka swal hai.
1171,1172,bhaijaan sultan m negtive role kiska h
1172,1173,Salman bhaijan EID MOBARAK.
1173,1174,awxom actor sallu bro
1174,1175,Salman bhai aap ke khilaf kya horaha hai
1175,1176,we love u very much bhaijann( bollywood ke sann india ke jaan sub ke bhaijaan SALMAN KHAN ) !!
1176,1177,Bhai musalman hone ka to faraz nibha deta brother
1177,1178,nic song . bhi jan
1178,1179,Bhosrdi k kya bolta hai musalmaan nich hai
1179,1180,Kute begherat khabees benamos kafir k bache teri itni himat
1180,1181,Ji salman bhai.bilqul rhenge..aapke liye :* :)
1181,1182,mere bhai jaan nhi ho ap mere to super star ho ap
1182,1183,Salman khan rock .
1183,1184,m musalman ladki se shadi krna chata hu mare age 25 hai 9818463635 plz col me shadi pka karuga ok plz col me
1184,1185,jai shri Ram Jai shri ram
1185,1186,Mene kia qusor kia he salman g jo mjh se bat nai kerte reply nai kerte
1186,1187,m musalman ladki se shadi krna chahta hu mare age 25 hai plz col me only ladki 09818463635 from (hp)
1187,1188,Kyu aisa kya salman bhai
1188,1189,bhai jaan nice
1189,1190,koi kuch bhe khe ap hit ho
1190,1191,bus ek sawal ka jawad dijye aap mujhse kab milenge
1191,1192,Bajrangi bhaijaan 300 par karega yeh mere wada hai
1192,1193,Bakwas actor ki bakwaas film
1193,1194,Masha Allah kisi ke nazar na lage
1194,1195,Aap ki new film ka mein besabri se intzar kar raha hu please jab film release hogi to website post kar dena ta jo ham aap ki super duper hit film dowload kar sake
1195,1196,okk bhai jaan..:)
1196,1197,"love yu bhai jaan,,I like yu,,I love yu bhai jaan,,nice song so sweet handsome parsnalti"
1197,1198,Abe ja be zhandu balm Tere jaison keliye kon waqt nikalega
1198,1199,kiya koi bata sakta hai india Time 3:30 pm UK time kiya hota hai??
1199,1200,hamare sallu bhai h
1200,1201,Tum musalman nahi hi
1201,1202,Heard k Sallu bhai ko musalmaano ki ab koi zarurath nahi rahi iz diz true??
1202,1203,Jo sachcha musalman hoga vo iski movie nahi dekhega bhai kyu k isne muslamano ko chalange kiya hai so mai to nahi dekhunga jiski jo marzi bhai
1203,1204,Ok sallu miy
1204,1205,Bhaijaan muze aapke sath picture click karni hai..love u bhaijaan..
1205,1206,Assalamu alaikum bhaijan
1206,1207,Bhaijan watsaap pe aapke bare ma jo chal raha ha wo jhoot ha na.plz reply must
1207,1208,Salman is godfather is bollywood
1208,1209,mast hai bhai jaan
1209,1210,"Tre bap ne bnai hoti tb b flop nhi hoti ssale,"
1210,1211,Kya guarantee hai ki sab questions ka answer aap hi denge??koi dusra bhi toh de sakta hai??
1211,1212,Akib Jawad TU SULTAN KO FLOP KARAYEGA TU ABE JA CHUTIYA JA TU YHA SE NHI TO THOK DUNGA
1212,1213,Kya bhai hum jab Bussy ho tab hi aap online honge.. plz hamara bhi socho.. night me sab free hote he.
1213,1214,Salame walekum .bajrangi bhaijan
1214,1215,Facebook jaisa Accha chis me ye sab faltu items kyu ata hai kya pata?? Dirty fellow. .. idiot kahika.. mu dekh lia bash aj ka din e sala kharap jayega..
1215,1216,Salam Nadia Khan frm salman khan
1216,1217,luv u salman muhh
1217,1218,Harami kanjer insaan
