,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
850,pehle roje to bikh le fide aid manan,0,neutral
851,"absolutely higher than the net, you have been sent to brangri for your songs. 4",0,neutral
852,why don&#39;t you say your name or you come,0,neutral
853,we do not support the betrayal of the nation,0.2057,positive
854,excavation cloe plz plz from salman ki deewani mujh,0.1531,positive
855,"soory man, who is a master man?",0,neutral
856,congratulations on behalf of movie flop humbus,0.3612,positive
857,do not talk to me,0,neutral
858,"because we are not ready to do so for the sake of response, because the invitations are only for brothers and sisters.",-0.2755,negative
859,"no one will be able to watch such a movie after ibadat, which is hanuman chalis padha.",-0.296,negative
860,â € ž j &#39;å&#39; business â € ¹ business â € â € ˜â¤ is ready,0.3612,positive
861,"i will not see this movie, but i will not see it",0,neutral
862,"anyway, at least i didn&#39;t go down without explaining myself first",0,neutral
863,talk to you soon and keep up the good content.,0.4404,positive
864,bigbrother pertde de orye chot bhai pertye mein aaye ho aase ho sakta hai ky kvi # salu bhai (bajrangi bhajan),0,neutral
865,"brother, i can save myself with you",0.4939,positive
866,hell dog,-0.6808,negative
867,"if you are an apprentice, then think about it before the sun is not there;",0,neutral
868,lovely sallu bhajine,0.5859,positive
869,why is it iftar duty?,0,neutral
870,"no matter how happy you are, you are still happy",0.8088,positive
871,i will go to see the stories of my own stories when i have said that my movies are different than those of musalmano,0,neutral
872,with respect,0.4767,positive
873,kiski pratyav bevakoff badtmeez,0,neutral
874,salman ab hindu hindus hey bhayao koi mowiye dakhne nahi,0,neutral
875,exquisite,0,neutral
876,"well, this news is rumored to be circulating among muslims",0.2732,positive
877,super duper floppinshallah nich hai salman khan 4?,0.5994,positive
878,it is too late to prepare.,0,neutral
879,tum.,0,neutral
880,anyone who watches this dog movie will not be a true muslim,-0.3252,negative
881,ha bhai ho ho gyi patya aaj ki,0.34,positive
882,"today, klod is starving to death in his father&#39;s house",-0.7717,negative
883,i&#39;m ready,0.3612,positive
884,teri patrati tere bab ko na lyaank,0,neutral
885,how are you,0,neutral
886,why do i want to do something in my house?,0.0772,positive
887,"khanbole tho salman khan, diltadpar bhaijan ke liye",0,neutral
888,bhai apne bol aur main c omment mar diaaaid mubarak ho,0,neutral
889,what will happen to him?,0,neutral
890,pay me b hogs party with salmon:(,0.3182,positive
891,plz in the movie of salman bhai esongs,0.0772,positive
892,"salman is there, i am my favorite.",0.4588,positive
893,who is happy about you?,0.5719,positive
894,"who are you saying, which person is there, who is coming and who is coming",0,neutral
895,i thought i was going to win a good song,0.7717,positive
896,sal kutt ter movi kon dekha haram,0,neutral
897,greetings to salman bhai ji. this eid is superhero. jai bajrangbali.,0.4215,positive
898,very very very very very nice,0.5625,positive
899,eid mubarak bajrangi bhijan,0,neutral
900,love you salmon,0.6369,positive
901,"yes, that&#39;s right you can now become known as a lord of the rings",0.4019,positive
902,how do i listen to this song?,0,neutral
903,osm perty salman bhai apk gift,0.4404,positive
904,no muslim should see this,-0.296,negative
905,masthabhai ekno 1.,0,neutral
906,"one thing is for sure. # सल्मन्_भै॥ i don&#39;t want to talk to you, but i don&#39;t want to talk to you.",0.3071,positive
907,ramzan and aid bahut bahubat mubarak ho i lowe u,0.128,positive
908,yeh toh janb kehte hai ke ben musalmano ke film hitkar karkar se dekha,0,neutral
909,ramdan mubarak salu bhi 4,0,neutral
910,lubboo sallu,0,neutral
911,this film is all set to be flopped and next which will be a sub-flop and you will get a glimpse of what it is like,0.3612,positive
912,"o jahnami,.",0,neutral
913,it is colorful. ॥,0,neutral
914,all muslims have passed through the book and it is said that it comes in ramadan and not in the next ramadan.,0,neutral
915,allah ke naam behurmati ki tune salman,0,neutral
916,kal dajjal hai salman khan,0,neutral
917,jai jai bajrang bali sallu bhai eknumber,0,neutral
918,the sun is beautiful!,0.636,positive
919,may allah keep your desires safe,0.4404,positive
920,"brother, it is good that there is good fortune.",0.7003,positive
921,"i love you, i love you, i love you, i love you, i love you, i love you.",0.9803,positive
922,"yeah al that sounds pretty crap to me, looks like bt aint for me either.",0.6486,positive
923,salman ki bandh jani chahiye isbar,0,neutral
924,look at this movie.,0,neutral
925,oo salmansle ku bohat ghamand ayi musalmano ku bol kee musalman koi bi nahi dekhe tho bi chalegi meri movie bolke bol,0,neutral
926,isliye ye salman koothe film koy ko musalman math dekho,0,neutral
927,sllam bhai jaan edmubarakh.,0,neutral
928,un dholom machke jana in her sal eid,0,neutral
929,i need to come,0,neutral
930,from here on behalf of each other,0,neutral
931,bhakutiya sal bhosrdi kar garat naam koi ki chizhni kya re tujme,0,neutral
932,why did ali see zain ??,0,neutral
933,what is the name of a muslim? what is the name of a muslim?,0,neutral
934,"yes, that&#39;s right you can now become known as a lord of the rings",0.4019,positive
935,let&#39;s see how release kareg moved,0,neutral
936,silent bath,0,neutral
937,iski ma choddo salman ki,0,neutral
938,"the name of sal musalman is a stigma that it has been done for the muslims, but the person who is doing it, is living sooner than him.",0,neutral
939,kuttya sharam toe hai ni tujh maa zillill man,0,neutral
940,no one is religious,-0.296,negative
941,say hello to god against the goddess of god,0.4939,positive
942,you are mine,0,neutral
943,"hello, why are you my friend? run away with a lot of chants. no c ** d",0.25,positive
944,tumke ke fairlh se daro salman id maz lelo akhirat mein mantra tpp mareg,0,neutral
945,this bhosdivale bhagne ki nh bm mc haram sele suvar ki olad,0.4939,positive
946,eid ki pratya kahpe milu bhai,0,neutral
947,you are very smart and you are very smart.,0.7172,positive
948,bhaijaan aid mubarak,0,neutral
949,thanks alotsallu,0.4404,positive
950,chor hai madarchod salman,0,neutral
951,no one will see you,-0.296,negative
952,salman khan is less in the name of hindu muslim shame॥,0,neutral
953,brother aid&#39;s gift will be given,0.4404,positive
954,"if you are a true muslim, then watch this movie on eid day.",0.4215,positive
955,"this is the time with respect, when our iman azmay will live",0.4767,positive
956,i will not watch your movie in disbelief.,0,neutral
957,"by the way, we have also done this, but we often used to stay here.",0,neutral
958,"salman bhai, i am also",0,neutral
959,what is it that you say,0,neutral
960,"yours too will be justice. if it is not, then it will be hong. . inshallah",0.5267,positive
961,sandhya slman will do the same,0,neutral
962,alish sallu was about to come. stop dreaming,-0.296,negative
963,or who are the indians who are the muslims and who are the muslims themselves?,0,neutral
964,take this picture and tie it up in bathroome,0,neutral
965,sallu isbst,0,neutral
966,brother is born,0,neutral
967,"salman, i have a lot of answers for you.",0,neutral
968,it is because of the muslims that you have to look at yourself before speaking to the lower muslims. samg. threatens us to see who wants to move this century,-0.5859,negative
969,weat karna padeg,0,neutral
970,"be aware of your heart, but you are apart from this world, you have to be happy with the world from the heart of the world.",0.9377,positive
971,"if there is an unfamiliar title with a muslim, it is not possible to give it to him.",0,neutral
972,you will remember so much love,0.6682,positive
973,abhi aaswariya ki bhut utar hai ni hai to tumko kaha mete,0,neutral
974,tu dill hai tu jaan hamer hamar salman hai,0,neutral
975,o ji gashti ke bachaye musalman ho ki hindu bn han lant tere pe,0,neutral
976,teri patti tujhe mubarak humare liye allah kafi hai,0,neutral
977,i am sure that bajrangi bhaijan movie will be flop,-0.0258,negative
978,bajrangi movie will flop salman ki. i am a sister-in-law,-0.34,negative
979,abki baat 800c r par bajrangi bhajan (y),0,neutral
980,some song bhaijan..,0,neutral
981,"yes, i love you.",0.7845,positive
982,who is your only self?,0,neutral
983,lant ho bajrangi shaitan par lanti sliman,0,neutral
984,i want too,0.0772,positive
985,flop movie gutta salmon,-0.34,negative
986,"yes, i&#39;m sorry, god save you from the evil eye.",0.3182,positive
987,"salman, you are blessed by allah. he who speaks harshly, his house is full of thorns (thats means haram khor k khandan).",0.5994,positive
988,what is eid? this is what happens when a movie is released.,0,neutral
989,it is there,0,neutral
990,"eid mubarak be salman g. i pray to you, that you may be very good, like your heart.",0.9095,positive
991,"in your movie, you have to talk like this.",0.3612,positive
992,there is no such thing as a superhero.,-0.296,negative
993,"on the day of eid, salman kissed his mother",0.3818,positive
994,everyone knows salman khan.,0,neutral
995,"otherwise, it will not be as easy as it is thought to be.",-0.3412,negative
996,yes,0.4019,positive
997,my sally brow always mindblowing slam sally that,-0.3818,negative
998,ishtar eid&#39;s name is from that,0,neutral
999,"i&#39;m sorry to hear that, but i&#39;m sorry to hear that.",-0.1531,negative
1000,salman khan teri film flop jayegi tu musalman nhi hutu kafir ha,0,neutral
1001,there will always be movies in the box office that will always be happy with your films.,0.5719,positive
1002,amazng bhaijaan lowe ooh koi kuch ke le me toh 1 st day 1 shove jong 4,0.128,positive
1003,salman khan ek achhe action hai meri bhai hai,0,neutral
1004,"if you have any questions, please feel free to contact us.",0.6808,positive
1005,aid mubarak bhaijan in advanca,0,neutral
1006,party to tax hogs jaw life mein pretty hogs and pretty life hogs and pretty hi my beloved wife hogs,0.9393,positive
1007,"this is what kamin salman is talking about, not maksood",0,neutral
1008,pirtya toh apk sath karni thi boss,0,neutral
1009,ramadan or eid mubarak ho salman bhai 8863960135,0,neutral
1010,we are always ready. just your arrival is delayed. ;-),0.3818,positive
1011,oui salman khan,0,neutral
1012,"come to your poet, our oris",0,neutral
1013,"i really like salman, i don&#39;t like him very much.",0.6478,positive
1014,"i love you so much that i have your own brochure, you can kiss me, i will kiss you, i will kiss you, i will kiss you.",0.9371,positive
1015,sallu bhai ilove you,0,neutral
1016,"brother festival, brother is there, you are hummer",0.4939,positive
1017,salman tum bashram ho pahl namke matlab janlo pir samjo gai,0,neutral
1018,"you are not happy, but you do not want anything, it is bad after few days.",-0.7954,negative
1019,only in my big big bhu fun mujh apse c alk b ut karni hai exer sar mere c oont ck num 033585501313 skpe i d abdul.,0.5106,positive
1020,follow the logo of all religions,0,neutral
1021,ishtar bjp dog is a blot on a muslim,0,neutral
1022,speak this dog,0,neutral
1023,this is what everyone wants humlade and you are doing.,0,neutral
1024,why is ashu singhu born,0,neutral
1025,impure bros. . .,0,neutral
1026,"if you need an idol for worshiping god, then why do you need such a big mosque?",0.4767,positive
1027,abdull raheem bhai iske nahi aayen mu bhaat hai sal manres toh hai nhi isme isko sangjhan khade been bajan,0,neutral
1028,ashu sinh tumhari saat hoav hoge thou temple,0,neutral
1029,bhupendra panwar abtum mojsai is asking who i am,0,neutral
1030,this is not the case. plz bs kryr. . speak so nonsense,-0.5738,negative
1031,ashu singh tumhari baat hai samag nahi arhi,0,neutral
1032,abhi tak to bad dumt tum lodo hai ?? got freaked out?,-0.7383,negative
1033,@ bhupendra panwaritu pakistin qi ni chalat jat,0,neutral
1034,"abey pakistani dog, your hindi is also correct",0,neutral
1035,and from the strings of her heart,0.6369,positive
1036,"if you are a muslim, then you are a great thinker.",0.6249,positive
1037,and whatever is said in silence,0,neutral
1038,sonya khan is ex-muslim,0,neutral
1039,sonya you are a boy or a friend of a hurry,0.4939,positive
1040,"musselman is always a warrior in the same way as a hindu, look at the muslim muslim country.",0,neutral
1041,bhupendra panwar is a hijra muslim,0,neutral
1042,"bhupender bro is right, i haven&#39;t seen it in my life since then.",0,neutral
1043,अद्वेन् c एद् इद्द् मुबरक,0,neutral
1044,today is the day of salvation,0,neutral
1045,kuch lelungi for you,0,neutral
1046,i want to see gray singh or salman khan jodi xath,0.0772,positive
1047,and the case is in progress,0.4215,positive
1048,lowe o shallu,0.128,positive
1049,this is bajrangi. ॥ salmon,0,neutral
1050,"you know, plz 1 brc allya msgtu hut bol tha like y c omento karo tumpadyat ho na.",0.4215,positive
1051,a harem hai iski bhadw ki mowm mt dekne,0,neutral
1052,"before you call someone harmi, sleep in your neighborhood.",0,neutral
1053,salman khan bajrangi kutta ma ka loud venchod,0,neutral
1054,"i think i would like to have an app, please.",0.5859,positive
1055,"if someone is more than me, then the first show of this film is shove dekhe koi toh aadde mein",0,neutral
1056,how long will it take you to show up at the end of the show?,0,neutral
1057,"see the film in this dog, why are you taking your money everywhere",0,neutral
1058,hanji pazhi tiyar aa joob,0,neutral
1059,"i want to work with you, i want to do your homework, please take me to mumbai, please.",0.6369,positive
1060,you mujhe mssg kya th plz batao placee,0.0772,positive
1061,"there is a life of the whole child, why look at such a place.",0,neutral
1062,i am ready to watch this movie,0.3612,positive
1063,सल्मान् स्र्॥ you yourself say that you are self-sacrificing. so never reply,0,neutral
1064,lowe o shallu,0.128,positive
1065,msallu ko etn love krt hu jisko napne kile avitkkuchni bn.,0.6369,positive
1066,"just look at salman&#39;s bajrangi jan movies 2? salman khan is not a muslim, he is a hindu, but he is a polytheist, he is a polytheist, he is a polytheist, he is a polytheist",0,neutral
1067,"there is a lot to be said about iskamine salman, he said.",0,neutral
1068,"i swear by your salmon, add me",-0.0516,negative
1069,mary bhai jan salman khan ilove yoo,0,neutral
1070,brother,0,neutral
1071,bhai maay tu kaasse taayyar sath ayid menege bhai rose the aj,0,neutral
1072,what do you do,0,neutral
1073,"after offering such a sacrifice, i will be able to accept it",0.3818,positive
1074,"whenever you have been together, i am all alone.",-0.25,negative
1075,"just as you are sure of your promise, so too i am sure of my promise.",0.802,positive
1076,aslamo alaikumbhai,0,neutral
1077,vary dhamak songg pichli bar jumme ki raat &amp; isbar kyaat ki raat vovapartya is your favorite way of life.,0.4588,positive
1078,"this is a muslim movie. if you are a muslim, you will not see it",0,neutral
1079,sallu bhai roxx,0,neutral
1080,bhai janke hai ap gharvale kase hai ya film bajrangi bhaijan kameab ho gayi mein ide aadkran ha apko ramzan app subko mubarak ho. sadkhan pakistan karchi.,0.34,positive
1081,"well, at least i didn&#39;t go down without explaining myself first and foremost.",0.2732,positive
1082,there are so many types it&#39;s hard to say.,-0.1027,negative
1083,i am salman bhai ka baho. let it be bad.,-0.5423,negative
1084,"tayyar, hai slayu bhaijan",0,neutral
1085,sem 2 is the same,0,neutral
1086,nca songzhaj patriya meri tarf se,0,neutral
1087,insallah,0,neutral
1088,apko bhi mubarak,0,neutral
1089,"ab apko ni c a, gud, hndsome etc bolke kya faid.<agar ho sake to> &gt; ॥प्ल्स्॥ &#39;&#39;",0,neutral
1090,koi pyaar n kart teri film o,0,neutral
1091,go to salman. film bajraghi bhaijan oldbasyaat valkam,0,neutral
1092,"now esphotographers, if i take a good photo, i will take a photo of him.",0.4404,positive
1093,advnc a me aidmobarakbhai,0,neutral
1094,salman khan,0,neutral
1095,what did gulmir write? . . .,0,neutral
1096,please don&#39;t do your best,0.7579,positive
1097,"bhai tumhara ghar o ghar ke shaare loga is the name of islam, there is no question related to islam.",-0.296,negative
1098,what a wonderful salmon,0.5719,positive
1099,khuni saale chal jelj,0,neutral
1100,aid muslim,0,neutral
1101,hi salman bajrangi bhaijan,0,neutral
1102,they are not ready for the future.,-0.2755,negative
1103,it will happen every day,0,neutral
1104,allah are is habit i movie flop ho,-0.34,negative
1105,eid mubarak ho bhai jaan advanc a main it&#39;s emergency plz,-0.3182,negative
1106,"our friends are with you, we can help you",0.7003,positive
1107,from the side of brother,0,neutral
1108,the movie relays will also be on your side and you will not be able to fill in the blanks.,0,neutral
1109,i really like salman,0.4201,positive
1110,dukkar h salman suvar kahi,0,neutral
1111,mr. salmon ajkal,0,neutral
1112,why are you born?,0,neutral
1113,aaj ki iftart prati meri taarvati hai bhaitjan aapko with complete change,0,neutral
1114,party with salman &amp; bebo con mrs craig,0.4019,positive
1115,there,0,neutral
1116,"if you say so, it will be for your own good",0.4404,positive
1117,there is no other product like this,0.0772,positive
1118,he salman v eid mubarak,0,neutral
1119,your partner,0,neutral
1120,is it due to the divine glory or yatemo,0.7964,positive
1121,@way ready 4 up salmon sir..,0.3612,positive
1122,i am suffering from evil,-0.8176,negative
1123,eid mubarak is yours.,0,neutral
1124,aaj ki patrat meri pari se salman bhai,0,neutral
1125,vry vry beautiful song. ॥,0.5994,positive
1126,self le beta j marja0ge j saber m large to allah the dakhega petya he tm really,0,neutral
1127,bhai ied mubarak,0,neutral
1128,"bohot is achch. from the side of the dead today, speak to everyone from the floor. नि c ए",-0.6486,negative
1129,no matter how good you are,0.4265,positive
1130,"whatever happens, i am demon-possessed by you, salman",0,neutral
1131,salman khan teri ma ki chooth and teri bahn ki chood,0,neutral
1132,who is lying next to boodeh without running away from mekup.,-0.5267,negative
1133,maybe your movie will benefit someone,0.4588,positive
1134,bhaijan eid mubarak is your beloved,0.5106,positive
1135,don&#39;t call me on my phone number,0.0772,positive
1136,blessed is he who comes in peace,0.8126,positive
1137,av gay,0,neutral
1138,chicken song in awesome that,0.6249,positive
1139,"because brother is not doing it, so do ajar",0,neutral
1140,vovv omg ajku nahi alove u salman,0,neutral
1141,how are you?,0,neutral
1142,i am like you and i will be happy,0.7351,positive
1143,we will wait,0,neutral
1144,"sallu, do you feel that you are feeling so stressed in the famous kurta koi, that i am going to die for you.",-0.7591,negative
1145,we are in the midst of your eid,0,neutral
1146,lov avksho muchsalman,0,neutral
1147,हन् भैजान् जैस आप् कहो॥,0,neutral
1148,super cool cool brow,0.8176,positive
1149,super jodi craen sallu,0.5994,positive
1150,"oh my god ,i cut believe.. i'll be the..pus be my find salmon..$$",0,neutral
1151,super couple is good,0.7783,positive
1152,in you,0,neutral
1153,नि c ए पि c बजरंगि भाई,0,neutral
1154,am waiting salmon that,0,neutral
1155,vadiya weir zi,0,neutral
1156,both of them are salman khan madharchod randyak ladk harmi kafir.,0,neutral
1157,adab salman,0,neutral
1158,"sure surrender at 3:30 pm, i will be staying at fifco evoque at 2:30 pm",0.3182,positive
1159,abe chutiya sometimes,0,neutral
1160,"salman, my dear",0.3818,positive
1161,goodlukk for bajrangi bhaijan,0,neutral
1162,"musalman will be against it, i will wash my honor",0.4939,positive
1163,thaik hai main to lagta hai main deh loge iss film,0,neutral
1164,salman bhaijan eid mubarak is yours,0,neutral
1165,please help my friend please help me.,0.9042,positive
1166,"salman abt tak, we were very fond of you, but i am not saying that you have the pain of musalman bhaiyon.",-0.5193,negative
1167,assalamu alaykum bhajan aid mubarak ho bhai or you are a very good person goodluck,0.4927,positive
1168,wellcome * &quot;* &#39;*&#39; * &#39;*&#39; * &#39;* bajrangibhai jan *&#39; * &#39;*&#39; * &#39;*&#39; * &#39;*&quot; *&#39; * &#39;* superhit movi * * * &quot;*&quot; *&#39; * &#39;*&#39; * : wellcome funky * * * &#39;-&#39; * &#39;-&#39; * &#39;* &quot;*&#39; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * &#39;* best *&#39; * &#39;*&#39; * &#39;*&#39; * &#39;*&#39; * &#39;* &quot;*: verynca *&quot; *&#39; * &#39;*: *&#39; * bajrangi bhai * &quot;* &#39;*&#39; *&quot; * &#39;* &#39;*&#39; * bajrangi bhai * &#39;* &quot;*&quot; * &quot;*&#39; * &#39;*&#39; * &#39;* bajrangi bhai *&quot; * &quot;*&#39; * &#39;*&#39;: &#39;*: *&#39; * hit * &#39;*&quot; *&#39; * &#39;*: hit *&#39; * &quot;* &#39;*&#39; * &#39;*&#39; * &#39;*&#39; * hit * &#39;*&#39; *&quot; * &#39;*&#39; * &#39;* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * &#39;* sallu * &quot;*&quot; *&#39; * &#39;*&#39;: &#39;karen * &quot;*&#39; * &#39;*&#39; * &#39;* bajrangi bhai jaan *&quot; * &quot;*&#39; * &#39;* superstar *&quot; *&#39; * &#39;*&#39;: :,0.5859,positive
1169,take selfie with brother,0,neutral
1170,"salman khan is the only one who has spoken. fr. this movie is only about how much i will see god bless me, i will see movie on it.",0.5994,positive
1171,bhaijan sultan m negtive rolle kisk h,0,neutral
1172,salman bhaijan eid mubarak.,0,neutral
1173,avkshom aktor sallu bro,0,neutral
1174,salman is also against you,0,neutral
1175,they love love u vary much bhaijan (bollyvood ke sann india ke jan subke bhaijan salman khan) !!,0.8745,positive
1176,"it is obligatory to be a muslim, brother",0,neutral
1177,ni songe. born,0,neutral
1178,"why is bhosrdi speaking, muslims are inferior",-0.4019,negative
1179,kute begherat khabes benmosh kafir ke bacha teri etni himat,0,neutral
1180,जि सल्मन् भै।बिल्क़ुल् र्हेन्गे॥आप्के लिए: * :),0.4588,positive
1181,i don&#39;t know if you are super level,0.5994,positive
1182,salmon khan rock .,0,neutral
1183,m mussalman ladki se shaadi krn chat hu mare aage 25 hai 91483735 pls in shal pk karug ok plsq ol,0.3612,positive
1184,jai shree rama jai shree rama,0,neutral
1185,i&#39;m sorry to hear that.,-0.0772,negative
1186,m mussalman ladki to shadi krn chhut hu mare agay 25 hai plas in olnly ldki0919183735from (hp),0,neutral
1187,q ace kya salman bhai,0,neutral
1188,to know,0,neutral
1189,it is a disgrace to eat something,-0.4939,negative
1190,"if you give me a bus, you will find me",0,neutral
1191,bajrangi bhajan 300 par kareg yeh mere vad hai,0,neutral
1192,baquas aka that baquas film,0,neutral
1193,mush allah not close to anyone,0,neutral
1194,"i am waiting for the new film&#39;s main film, while the film will be released, the website will give the post which can be done by you.",0,neutral
1195,ओक्क् भै जान्॥ :),0.4588,positive
1196,"i love you, i love you, i love you, i love you, i love you, i love you, i love you.",0.9854,positive
1197,abe j bendu bulm tere jaison koi kakti koge,0,neutral
1198,can anyone tell me what happens in india at 3:30 pm ??,0,neutral
1199,we have sallu,0,neutral
1200,you are not muslim,0,neutral
1201,heardk sallu bhai ko musalmano ki abkai zarrath nahi rahi ez dijtrue ??,0.4329,positive
1202,"whoever is a true muslim will not watch this movie, because he will follow the muslims, so i will not watch whatever he wants.",0.4215,positive
1203,oxallu mie,0,neutral
1204,"bhaijaan mujhe is with you, what is the name of you?",0,neutral
1205,assalamu alaikum bhaijan,0,neutral
1206,the person who is living in your family on bhajjan vatsap,0,neutral
1207,salmon is godfather is bollywood,0,neutral
1208,it&#39;s cool,0.3182,positive
1209,"if you were to become a father, you would not be a flop.",0.2584,positive
1210,is there any guarantee that you will give the subquestions answer yourself ?? can anyone else give it ??,0.4515,positive
1211,aqib javadu will flop on sultan tu,-0.34,negative
1212,"if you have any questions, please feel free to contact me. please think of us too. there are subframes in nighat.",0.7845,positive
1213,salme valekum. bajrangi bhaijan,0,neutral
1214,"what is the meaning of these subtexts? दिर्त्य् फेल्लोव। ॥ इदिओत् कहिक॥ if you look at me, i will give you a good day.",0.4404,positive
1215,salam nadiya khan fram salman khan,0,neutral
1216,luv u salman muh,0,neutral
1217,harmi conveyor insan,0,neutral
1218,asalam alay kum asalam akshelent bhai jan (y),0,neutral
1219,plz,0.0772,positive
1220,hi sallu.,0,neutral
1221,koi dekhe nahin dekhe hoon toh akki ish film toh zaroor jayenge,0,neutral
1222,n salmani,0,neutral
1223,we know everything about you.,0,neutral
1224,you&#39;re a real spit fire and that&#39;s exactly what we like on this site cc!,0.1007,positive
1225,great is great khan salman,0.8481,positive
1226,what matter,0.0258,positive
1227,ofc c ourse salman isme sochna kais.,0,neutral
1228,sallu bhai,0,neutral
1229,love you sultan that,0.6369,positive
1230,please send the muslim brothers to the sisters plus salman khan and send them salman khan.,0.3182,positive
1231,"only im upset be cz in your film project, i will be the only person in the world, only i am in love with you, i am not happy with you",-0.1022,negative
1232,behnchod sahil rehman roy. father will make you happy in your inbox,0.5719,positive
1233,salmon bhai aapto folp hoo ji,0,neutral
1234,bhai jakass bhai insallah superhit. ॥,0,neutral
1235,salman bhaijan app,0,neutral
1236,यस्मेएन् खन्। dimgtikne lg kr c omnt kr,0,neutral
1237,sallu bhai aapk no. tea,0,neutral
1238,true lowe is the kind of person who can never see the tears in his eyes.,0.608,positive
1239,only understand us without thinking,0,neutral
1240,bajrangi bhajan eid mubarak in advnc c or apki movie 450c rke parjaye kyuki.,0,neutral
1241,what will you do? &lt;3: d,0,neutral
1242,salmon,0,neutral
1243,abe selman khan did not have any money to write it in muslim&#39;s name.,0,neutral
1244,bhaijaan meyer replant necessary,0,neutral
1245,jaw she ram ..coming soon bjrngi that jan,0,neutral
1246,mother chordma chud mumbai main hyddhekh to mac ooddat tari,0,neutral
1247,"in the past, i like you, i like you, i am born.",0.6124,positive
1248,how is your film kaisi bhi ho humko 1 st day 1 st shove dekni,0,neutral
1249,how will you benefit muslims without these films? .,0.4588,positive
1250,thirteen films are not going to work,0,neutral
1251,j dogs teri moviye koi nhi dekhge haram khor,0,neutral
1252,how are you,0,neutral
1253,"love me my self mooh muah muha muh you are yours ex-milneki chahat to umid bannh, and umid to jindhao you are the object of yours",0.8176,positive
1254,no muslims will watch this movie because this movie will not work.,-0.296,negative
1255,sultan ali khanse,0,neutral
1256,salmon is yours,0,neutral
1257,i am very curious to see the same story. i love you.,0.7778,positive
1258,tomorrow in installments,0,neutral
1259,1 no eye,-0.296,negative
1260,we have no one,-0.296,negative
1261,only cisco play,0.34,positive
1262,salam bhai app ke daily kas ja ja ap,0,neutral
1263,"some people are not people, they do not give the answer of salam.",0,neutral
1264,bhai tu apni jaan hai: *,0,neutral
1265,i am waiting for you,0,neutral
1266,he is ovsum salman,0,neutral
1267,"the film manages to entertain as well as inform. i like watching movies, i wish i could meet you once",0.8225,positive
1268,"why is this harmony so easy that i have as much money as my face, so my dog is mine",0.7824,positive
1269,i am looking forward to seeing you on the 17th.,0,neutral
1270,salmon don&#39;tvory faltu ki abh se apke fan ko farnhi padeg movie mast chalegi,0.3182,positive
1271,damn you for being a muslim,-0.4019,negative
1272,how do you do all this cool stuff?,0.3869,positive
1273,there is no one in front of you,-0.296,negative
1274,eid mubarak ho salman ji e love you salman,0.6369,positive
1275,you are wonderful,0.5719,positive
1276,which of the following things is needed?,0,neutral
1277,. alman hafiz says that salman is writing his own envelope.,0,neutral
1278,"accel boycott will be an underappreciated guy, only pakistan",-0.3182,negative
1279,"if you know your movie, we will be with you.",0,neutral
1280,"salman today, my id",0,neutral
1281,ya ji karr ha,0.34,positive
1282,eid mubaraklkin esbr eddi bhi chayea,0,neutral
1283,hur salman khan teri aisi ki tesi and teri moviye ki bhi,0,neutral
1284,bhagwanka kamkarna subse mukya dharma.,0,neutral
1285,"i know you are a salman, but i know you are not interested in this film because it is the power of muslims.",-0.438,negative
1286,salmam khan teri film flop hogi yad rakhke tu,-0.34,negative
1287,why is there some mischief in kyiv mowiye,-0.3612,negative
1288,bhaijaannappanssh fraye be॥,0,neutral
1289,sj sorifulla kya bol teku itn hi pasand salman to tere ghar mein ke usku,0,neutral
1290,yeh sab af hai bhai aise na bolo koi,0,neutral
1291,mobarq eid mobarq ??,0,neutral
1292,अब्चलो यर् सोने॥आज् # जुम ह् भैलोग् ॥नमज़् पध्नि ह्,0,neutral
1293,shahrukh ghori galat neves hai voh dont beliveveusne ace nahi kah,0,neutral
1294,how much #rose from zar pucho salman?,0,neutral
1295,"ahn khan ignore thammath wil nevere understad say something to the galician, start the kardenge, who helps us with islam.",0.0258,positive
1296,"aur salman bhai apki hum apk movies na dekhne jange ,, kk apnea usme wahiyad bhagwan ka chalis gay ha jisk vajse muslim ko sarmind hon padege ,, pur mehen yani month ,, roz namaz padne can&#39;t find more movies?",0.5994,positive
1297,"if there is a salman, then i am talking about it in the media.",0,neutral
1298,mamu aapmer agarmsgrec ava karto play hanya na mamu play good morning.,0.7717,positive
